"Date","waterYear","waterDay","hru_1","hru_2","hru_3","hru_4","hru_5","hru_6","hru_7","hru_8","hru_9","hru_10"
"2013-01-01",2013,93,0.068997691596627,0.0216363686857687,0.0781008680030478,0.0170592985064295,0.156101170938276,0.226745054674501,0.182196666961801,0.182415689945664,0.13443524768686,0.212756015671847
"2013-02-01",2013,124,0.169313010762715,0.0973874112218245,0.136374841842583,0.106421478092139,0.090291751845214,0.326691384067665,0.246058363756077,0.276698046714022,0.260737686892167,0.248149128697145
"2013-03-01",2013,152,0.752443062200283,0.86877761033537,0.69177622061346,0.803395243094543,0.61351558114065,0.595747973428082,0.480821405930907,0.55333855037236,0.337365012262117,0.316212494599848
"2013-04-01",2013,183,1.22469673849609,1.04399528952514,1.18067561062989,0.917774114850535,1.43504880369787,1.16355203884249,1.13577959916511,1.14810639828149,1.0699370657983,1.13075830511832
"2013-05-01",2013,213,2.11219068671782,2.67038929628877,2.34618805426583,2.79707768882905,2.76856692368374,2.73643577635376,2.48994712636349,2.64251277636592,1.96888352399429,2.59974887857903
"2013-06-01",2013,244,2.92103866692597,4.44199533532413,3.33775821716497,4.04845598622842,3.89395276059867,3.8940789699952,3.81457690927074,4.02646225920496,3.46535146309687,4.01383690597276
"2013-07-01",2013,274,3.31087515540017,4.25711601809937,3.83766419734285,4.33577510462233,4.24520979365979,4.42398347621003,4.28735500366612,4.32218544785753,3.99935956879604,4.22792755741282
"2013-08-01",2013,305,2.70164751145605,3.50850472630962,2.96386649392818,3.38699413619558,3.39389808913292,3.34627208437473,3.33120478194988,3.37866625374299,3.0726396245647,3.24198006400957
"2013-09-01",2013,336,1.71091982505485,2.39851747694338,2.29668211249767,2.06118354030003,2.63962295650494,2.58045178570258,2.42547454004668,2.43167230800347,2.10091405610485,2.39091619160067
"2013-10-01",2014,1,1.05454187636422,1.64647613312305,1.35324061389312,1.49841135950751,1.48431882703232,1.42582440335437,1.34636251314421,1.35068194447414,1.04836015382645,1.36655411716107
"2013-11-01",2014,32,0.517955473883819,0.790295681203948,0.578901754661987,0.766405600165075,0.682080487524895,0.645577895410854,0.555144932092231,0.600931991107299,0.488935082268201,0.55198181252214
"2013-12-01",2014,62,0.136881884840639,0.153491174193536,0.14213970296224,0.146220241695696,0.189548640024108,0.264648708506782,0.211818296278708,0.228823466476083,0.193906825162773,0.258947430776363
"2014-01-01",2014,93,0.121635453067642,0.0237691886806334,0.120677978845741,0.0102696379872438,0.217111385324226,0.347247671503778,0.250442312610878,0.252273290160781,0.24769065048625,0.30746146302032
"2014-02-01",2014,124,0.42053751114178,0.430559230031275,0.376959360828016,0.360469048326238,0.515787223121386,0.61055280427064,0.597017366327384,0.581195962500631,0.649939163089764,0.639755856841243
"2014-03-01",2014,152,0.988802672169737,0.894401901729984,0.914810388050647,0.788570782358354,1.11717675264059,1.10372204453425,1.17484691817207,1.16615627968373,1.16924054593815,1.15962035741733
"2014-04-01",2014,183,1.76607385772923,2.27295150617775,1.78823267179373,1.73904363687539,1.0627225723816,1.21922236593962,1.0180931201736,1.2146743766465,0.951775456789917,0.950105140421007
"2014-05-01",2014,213,2.94704811985847,3.68357867462595,3.0283274531678,3.67228299128115,3.53345233255648,2.9886452262823,2.63738192598762,2.73264946832865,2.25878595247286,2.45609314300745
"2014-06-01",2014,244,3.83284517721604,5.55647721963101,4.02167631547974,5.09945857433495,4.77036137403605,4.38115117697358,4.30736914456966,4.60720484572086,3.89400880498197,4.50050189267694
"2014-07-01",2014,274,3.53209741372181,4.39410981136175,3.83999723200679,3.7556915011217,4.57131677918946,4.05639763725247,4.02402233251345,4.21587021674287,3.97032332557791,4.23776559641511
"2014-08-01",2014,305,2.74407766352546,3.61978896409993,2.96917598139007,2.84842661597054,3.50906363580727,3.34086920324855,3.29387903293043,3.40859358248588,3.0585923551171,3.33514293557856
"2014-09-01",2014,336,1.91834549518011,2.81657090292709,2.28909003353748,2.29424840559088,2.643806336069,2.63462998789177,2.5061046405107,2.52478012481456,2.1626209300114,2.47955274876251
"2014-10-01",2015,1,1.13643631464614,1.76861570603285,1.48455238572843,1.52352130814421,1.56931185599464,1.54492038148819,1.46551606982439,1.54029816929861,1.21063531914492,1.53999475141501
"2014-11-01",2015,32,0.574519909796083,0.887438262717625,0.671870224286045,0.772706862194145,0.818700752392156,0.776006261806111,0.70807107115941,0.758334343850107,0.585468699337486,0.820556176152898
"2014-12-01",2015,62,0.160051307283237,0.192959915651902,0.175173939167462,0.168568250795463,0.209851188774156,0.229102579021801,0.203285127523261,0.199872841033904,0.165415725442321,0.197641423053177
"2015-01-01",2015,93,0.133299033741286,0.0205559510184672,0.115177276593175,0.00948193415828077,0.186417743463242,0.347422702743756,0.277253120355255,0.276392790121053,0.240067264148706,0.292680868872246
"2015-02-01",2015,124,0.237056622026329,0.0405893550479014,0.238969084055157,0.0422171654855532,0.38778147052504,0.495169711768186,0.452499658867315,0.466015459641258,0.403185139511792,0.49453728836856
"2015-03-01",2015,152,1.50718569581044,1.31555163178392,1.56675167034002,1.24637967707903,1.38024153925477,1.54102882850509,1.32208071001993,1.25719094008117,0.867502226800573,1.0040115492433
"2015-04-01",2015,183,1.66924366886944,1.63590460557569,1.86208097503749,1.31174840540658,1.82777250659984,2.16619984922048,2.11734871134327,2.21199855249223,2.01217861174192,2.23549930333109
"2015-05-01",2015,213,2.41893542633724,3.03849624375197,2.66606582309062,2.82732853840283,2.8106348093317,2.44165496083003,2.29978211992298,2.60957643096523,2.26557100458679,2.56701563214956
