"Date","waterYear","waterDay","hru_1","hru_2","hru_3","hru_4","hru_5","hru_6"
"2013-01-01",2013,93,0.488716768826704,0.345976466820688,0.326700643023399,0.397266267546465,0.412734143378247,0.259158554342427
"2013-02-01",2013,124,0.293179311663291,0.204238067813671,0.190431608551147,0.248726600901826,0.305264950408121,0.15143198469723
"2013-03-01",2013,152,0.787491233374349,0.481205427007216,0.754585114872601,0.700346689196453,0.759336068007107,0.408258042097375
"2013-04-01",2013,183,0.945686519004286,0.656438524494856,1.22866826898659,1.03542589836871,0.98869135352164,0.600266617088145
"2013-05-01",2013,213,2.10755866479959,2.07772243051555,2.06228182204054,2.73294257882664,1.55357558638899,1.17315255932501
"2013-06-01",2013,244,3.21129391212819,3.90260099376111,3.25081040666459,3.84701925896228,2.55227068302376,2.7050268884154
"2013-07-01",2013,274,3.76918354902083,3.85543342191219,3.29349729105232,3.67465227979124,3.44615547544103,3.38504882827974
"2013-08-01",2013,305,2.83171718437996,2.48723989099975,2.58683177207012,2.83029493302051,2.28295287678066,2.27699668947037
"2013-09-01",2013,336,2.10480891040312,2.23991149242326,2.06833799249522,2.21740400551583,1.60475877195214,1.97517788121534
"2013-10-01",2014,1,1.38760398132151,1.42133982673087,1.37605627518317,1.47060757305208,1.00545699322376,1.24967061666871
"2013-11-01",2014,32,0.650801860898876,0.620550907677977,0.659482233710908,0.669832869848024,0.427127203766517,0.495944938222291
"2013-12-01",2014,62,0.314357725631153,0.248580610389474,0.245140520526195,0.254877789567204,0.243697777385628,0.297817502453311
"2014-01-01",2014,93,0.405529826479232,0.308866836823029,0.28286500379466,0.311012444460322,0.397273081139691,0.435083404736639
"2014-02-01",2014,124,0.539938897321903,0.452399742872431,0.598103666673335,0.591568868987275,0.497278708981099,0.480734723271753
"2014-03-01",2014,152,0.910455250691624,0.834160285494194,1.08200063380721,1.14569332147813,1.06322599377001,0.726721517470279
"2014-04-01",2014,183,1.48693245240087,1.14196436544269,1.84647274420216,1.58238320450728,1.44517944842274,0.907172636668406
"2014-05-01",2014,213,1.6773160584373,1.86586850879896,1.84875747845249,1.8100773201576,1.59512416070171,1.60087063820606
"2014-06-01",2014,244,3.90768432913021,4.23500685754638,3.44407812437817,3.78110732198956,3.57491708567411,3.77508290093975
"2014-07-01",2014,274,3.60817983650474,4.10746577286434,3.23374064214306,3.66282828691551,3.16138412013542,3.17439131026956
"2014-08-01",2014,305,2.98412826557009,3.60966056066607,2.87223121603661,3.26770136739222,2.73742348913702,2.77498592655323
"2014-09-01",2014,336,2.48229373015119,2.8474092094729,2.38192692710623,2.61082216933252,2.10342429982974,2.22997669411494
"2014-10-01",2015,1,1.58180984128955,1.67907360191007,1.67089331164915,1.7552765856251,1.19484387496714,1.37252361278706
"2014-11-01",2015,32,0.839268287888622,0.763708263738913,0.736632718592974,0.793670112440259,0.632103690140426,0.740767886956964
"2014-12-01",2015,62,0.221017522739785,0.205243189987184,0.228582642827576,0.273006618270966,0.165812222307156,0.252333718036451
"2015-01-01",2015,93,0.423390375516631,0.349248966171773,0.369975802042526,0.442744696790148,0.391800297672579,0.371412058616943
"2015-02-01",2015,124,0.668456294191985,0.559594095658097,0.654529869261273,0.591518635756408,0.629654068566147,0.554530849928584
"2015-03-01",2015,152,1.33853085404488,1.15754006008257,1.5150508475276,1.5153604893647,1.34334312320034,0.927474354610555
"2015-04-01",2015,183,1.73291228151158,1.69862409416354,2.34559191042334,2.21202981017023,1.13142971035927,0.76128987775786
"2015-05-01",2015,213,1.49072466695973,1.35508104473811,1.41714632579675,1.65074716382218,1.2142048239389,0.943034462128588
"2015-06-01",2015,244,2.76251722003403,3.73819276664034,2.91202080163871,3.57318988264088,2.31387892934798,1.49938106344218
"2015-07-01",2015,274,3.54885034730408,4.05653059033507,3.37696552471546,3.77695187534767,3.09468337206854,3.08889588400142
"2015-08-01",2015,305,3.5286499014905,3.96417687641343,3.40577889950151,3.68927424428376,2.95669214925882,3.00061547622192
"2015-09-01",2015,336,2.44689005845044,2.71887578418303,2.39631585764365,2.36017953349038,1.76439656932017,2.22566199826509
"2015-10-01",2016,1,1.40237621431391,1.5999784026391,1.23626889939261,1.37100731697559,0.923961933696849,1.25115571393855
"2015-11-01",2016,32,0.6410399867931,0.670224516301132,0.617220371040771,0.683317101854585,0.447544029987585,0.638066665728299
"2015-12-01",2016,62,0.326006165090597,0.259382077968329,0.240537922281883,0.272090057243818,0.377037110803764,0.440668220809215
"2016-01-01",2016,93,0.291914872427186,0.269367318258471,0.179638103681563,0.374242388112064,0.387086209462108,0.306624959813117
"2016-02-01",2016,124,0.455456813818632,0.372752379560611,0.390981728578545,0.524428332043513,0.659900194702323,0.369112399660805
"2016-03-01",2016,153,0.733651748000694,0.662905509457528,1.06980510644408,1.21016838260789,0.869398709135508,0.449321495810445
"2016-04-01",2016,184,1.35936517178534,1.22456449506104,1.51627199465075,1.64544170229487,1.27148523257465,0.969262274574999
"2016-05-01",2016,214,2.08721280415725,2.37825603763477,2.53897044511577,2.70283538529912,2.03711468280478,1.63463643231066
"2016-06-01",2016,245,3.69121813533247,4.23705033648874,3.41499907879459,3.93485644834973,2.99483985495323,2.96525290679665
"2016-07-01",2016,275,4.01318528095444,4.45881053885427,3.45071151678937,4.05234243564843,3.66675621711782,3.76204134254515
"2016-08-01",2016,306,2.95115840103008,3.42565542211221,2.71065489807689,3.26915863904227,2.55874461095979,2.50468379457809
"2016-09-01",2016,337,2.49751082077633,2.86678455143554,2.38257161925468,2.77549292954793,1.75049813485345,2.09368573144162
