"Date","waterYear","waterDay","hru_1","hru_2","hru_3","hru_4","hru_5","hru_6","hru_7","hru_8","hru_9","hru_10","hru_11","hru_12","hru_13","hru_14","hru_15"
"2013-01-01",2013,93,0.138371625365983,0.27251099555865,0.0810530359373363,0.157189662205733,0.264858424156965,0.0391383213190439,0.293939799832751,0.392562984321196,0.173532874417911,0.0907269199875673,0.128427369329938,0.16089967321198,0.218328308694495,0.551578087842875,0.229131830566075
"2013-02-01",2013,124,0.525293164398991,0.492210247401459,0.449744297798507,0.514195025503975,0.443336279289717,0.445818671616944,0.534868650437787,0.563706994083479,0.50053933291918,0.545772470222781,0.418844026191146,0.366493125766564,0.402730874051712,0.532224403431221,0.47881519045517
"2013-03-01",2013,152,0.724009081843928,0.281025581410557,0.893833037433197,0.334848655536929,0.305813837731731,0.499401675766779,0.30054082059087,0.266514226734054,0.261537973603543,0.312623464348961,0.380068647104849,0.323267529001219,0.25627481703092,0.138293873682651,0.243937273026201
"2013-04-01",2013,183,2.74479515365298,2.528248050516,2.48120008501768,2.34521173331125,2.40553620847851,1.79299014113109,2.79417433846918,2.58939608729327,2.20345778201307,1.90742613327844,2.03906224902196,1.17284105995685,1.39486552811178,0.131175662844155,1.92235346464669
"2013-05-01",2013,213,3.55707068196183,3.84639662586893,3.15889782006504,3.606163034701,3.76158574054936,3.42245247538725,3.64042091228247,4.37152010265296,3.28386402597769,3.11160769488843,3.33059231692876,3.22370999333647,3.28827112054425,1.61332673112184,3.61935985995997
"2013-06-01",2013,244,4.52383395454915,5.53872710187855,3.94815203420607,5.41249379658248,6.14084650681505,3.5250957720333,5.39066212080103,5.62944652670719,4.479155522035,5.03248179940763,5.07021362108813,3.87918051611879,3.87490083499196,3.51462151613305,4.60159111091309
"2013-07-01",2013,274,4.89306837615903,5.35096587640479,4.36194426478705,5.4116216643359,6.0649539774327,4.43508669677983,4.88574536164738,5.44610113846605,4.3572149148245,5.17186988268031,5.15031265431162,2.87339136238975,2.97742271420885,3.10591333328012,4.30275392560759
"2013-08-01",2013,305,3.64997359178878,3.80176306184173,3.29276489257931,3.69918887979368,3.97779488719908,3.36949131540694,3.66831947435226,3.54141991605687,3.39080965856905,3.66095070767594,3.62488296250091,2.43780519639692,2.4143560407503,1.78131520075669,3.05474811449171
"2013-09-01",2013,336,3.39553137917045,3.32626497531381,3.034688071773,3.3093457190197,3.72213665595193,2.49638079809454,3.21015941829821,3.49722301036617,2.83076757063192,2.94677281554026,3.17439009266499,3.0081822828415,2.63749804439916,1.602462794903,2.63156097486018
"2013-10-01",2014,1,2.23993132359598,2.02081359322949,2.01374242113669,2.01811812841157,2.17845133673471,1.42793089957446,1.99460976968159,2.1989995668739,1.76339779876793,1.67459226395367,1.96340271656141,1.72463715153816,1.51731967128072,1.09337771286885,1.78211958274468
"2013-11-01",2014,32,1.13628581432988,0.862931906120273,0.980131769940416,0.832920676405935,1.22871414422072,0.72211482088708,0.933691705445404,0.902577133427886,0.675097162879934,0.487129989871895,0.863539770771502,0.480026615253993,0.525934976824681,0.641770859636342,0.441639579729696
"2013-12-01",2014,62,0.482283093771592,0.522551049645207,0.530898850525925,0.449233132350156,0.574069747521052,0.367889665110527,0.474587271127447,0.616204216049547,0.423039308262585,0.390144743924326,0.427263924736113,0.36464167325334,0.395235362569502,0.635328731896525,0.428744354400095
"2014-01-01",2014,93,0.631106804104689,0.747410819471275,0.474882283460517,0.665621184137028,0.788323499269227,0.448268186934159,0.672237476527841,0.690495802358848,0.635264544414641,0.579355126636762,0.528120367693459,0.53600601856136,0.533136015473622,0.879933558180519,0.572868731071778
"2014-02-01",2014,124,1.08488673903092,0.672193568282883,1.07100862299928,0.752571062405643,0.768658947887687,0.750560176043855,0.637469754490056,0.491794928298218,0.623684466223331,0.71381132994553,0.73339633174104,0.448860935324144,0.485742130241043,0.534907639175598,0.596409252419156
"2014-03-01",2014,152,1.86042294668103,1.25059037219203,2.04597528341705,1.28880411334051,1.42707991887212,1.60140477121986,1.09454962105511,1.04721218828593,1.1056527036499,1.07759780741483,1.14515046407691,0.818110208167591,0.743028176807732,0.680189031588287,0.884207935994315
"2014-04-01",2014,183,2.96972302202745,2.89165128277236,2.91920719888899,2.84489019276162,2.39744958969976,1.73386561052592,2.74563484558226,2.9533500862906,2.62337390501968,1.71481971353727,2.38996528935123,2.2309842285924,2.14315773707869,1.41499072450412,3.02207645348534
"2014-05-01",2014,213,3.98597416118322,3.60804380724052,3.48032730880099,3.70972411246115,3.72864391195632,2.63535838072696,3.62255361529818,3.71861322664913,2.84625467262217,2.66275086167498,3.36731277069444,2.01152317778935,1.9415060205313,0.811594083344677,2.57958146120621
"2014-06-01",2014,244,5.06693917488448,5.70933262951252,4.27802586944862,5.53082870859804,6.44148111524641,4.55528848636016,5.37672275202942,5.79303017552318,4.43373202545734,5.11089736020915,5.61008750406729,4.33027079221944,4.28159107446469,3.63908852242148,4.94626245658623
"2014-07-01",2014,274,4.76455951367317,5.28287537073248,4.20550164753337,5.14327073366194,5.9445325934146,4.14893053128668,4.60496121570546,4.90752973141195,4.11940292026997,4.73169279889762,5.01354189730654,3.36725735818388,3.79748395330912,2.66830016637707,3.79901085610509
"2014-08-01",2014,305,4.32864691945931,4.62640839892667,3.79297084074094,4.38751084085544,4.96046273781216,3.43113993673711,4.22227237674836,4.41501280881968,3.71533510888547,4.11895268578325,4.40119182343391,3.56653772098858,3.58478175466588,2.11802430774368,3.2805245830347
