"Date","waterYear","waterDay","hru_1","hru_2","hru_3","hru_4"
"2013-01-01",2013,93,0.254167240627069,0.288289435796943,0.21879795552822,0.306774065424465
"2013-02-01",2013,124,0.258818293519087,0.298497277123303,0.156166281770078,0.260379757785621
"2013-03-01",2013,152,0.579772509181848,0.386323463299021,0.0674525713818887,0.168780033373592
"2013-04-01",2013,183,0.556026634688096,0.76843099461299,0.575543043251168,0.976216305699776
"2013-05-01",2013,213,2.02457714204281,2.53506146201704,1.98510219556834,2.60946510427547
"2013-06-01",2013,244,3.06420581176115,3.26576410149023,3.4764635740709,3.29629828583796
"2013-07-01",2013,274,3.09073260594665,3.73560466695311,3.60114645104367,3.47884079530134
"2013-08-01",2013,305,2.80785538615074,3.20375891531571,2.90320016741559,2.9928726422298
"2013-09-01",2013,336,2.40704461169246,2.51548182107849,2.35541975010102,2.33175298523833
"2013-10-01",2014,1,1.38961390066996,1.46937427991375,1.09585676771073,1.41195335290718
"2013-11-01",2014,32,0.803715775519768,0.717651482317639,0.648499471996818,0.758260304461881
"2013-12-01",2014,62,0.265695367160952,0.29303542571729,0.204270562706042,0.264466565003665
"2014-01-01",2014,93,0.273036503978105,0.319067957457676,0.210321196507706,0.333088550126125
"2014-02-01",2014,124,0.623506121825421,0.640444172360854,0.644412578628502,0.65930630058028
"2014-03-01",2014,152,1.13294453400765,1.13025334245761,0.997358895867347,1.02272973007597
"2014-04-01",2014,183,0.894475308294632,0.939445775581209,1.13031698538104,1.49355535783326
"2014-05-01",2014,213,2.87549189936546,2.72729116684419,1.06558819960192,2.01796005668672
"2014-06-01",2014,244,3.7223246444533,3.98091584164491,3.48223065061052,3.51693484850744
"2014-07-01",2014,274,3.3451144411271,3.66007705956687,3.44383393719231,3.21694823848365
"2014-08-01",2014,305,2.7191354034916,3.08005391645462,3.0749178085091,3.20727585746933
"2014-09-01",2014,336,2.31869622771038,2.42249070145927,2.26756891247618,2.18549411049408
"2014-10-01",2015,1,1.52160262926721,1.62134786971504,1.5228837193956,1.51032359897758
"2014-11-01",2015,32,0.776213654784558,0.836818592647179,0.73349502798779,0.845428632049214
"2014-12-01",2015,62,0.168466555599239,0.210315966397926,0.160952122821164,0.159556576932642
"2015-01-01",2015,93,0.303670111616471,0.378562332666174,0.192883181459579,0.273590907180204
"2015-02-01",2015,124,0.606576191190298,0.58623431967818,0.368975981450683,0.476848179124436
"2015-03-01",2015,152,1.25464168932247,1.3525577976135,1.06945418934025,1.27992338635846
"2015-04-01",2015,183,1.66635995859263,2.16487807036359,1.45145432234517,2.08588746220969
"2015-05-01",2015,213,2.456632321587,2.3614843203039,1.50772030296169,2.02045048044107
"2015-06-01",2015,244,3.40873069759759,3.84008150973996,3.20437256966195,3.43841727744372
"2015-07-01",2015,274,3.55068072883046,3.82988567863364,3.55452624871114,3.48280749553843
"2015-08-01",2015,305,3.35430732679362,3.40918816641374,3.44537133849664,3.12232751819942
"2015-09-01",2015,336,2.47836605734618,2.62509054082952,2.26074702735558,2.25351455563243
"2015-10-01",2016,1,1.47470968368404,1.52832611854481,1.1696831025163,1.23778180134231
"2015-11-01",2016,32,0.793179417416287,0.75278643336249,0.557979733062386,0.589562414974637
"2015-12-01",2016,62,0.245415063007924,0.284056644718879,0.272799472851103,0.319783657754775
"2016-01-01",2016,93,0.269925570792773,0.326816460118307,0.187905112143428,0.276474363831747
"2016-02-01",2016,124,0.528474803180447,0.594026281934652,0.312370379688071,0.518477985472784
"2016-03-01",2016,153,0.891405565299176,0.886942477210562,0.423665637646814,0.788654715453805
"2016-04-01",2016,184,1.71937456585992,1.46056691993663,0.921226479888373,1.17686838817738
"2016-05-01",2016,214,2.94123327310889,2.62374473624534,2.04855691406779,2.65244140768227
"2016-06-01",2016,245,3.62394530881917,3.84972858468073,3.74978982244925,3.92326117196132
"2016-07-01",2016,275,3.71035262528897,3.84303415222276,3.6221090123805,3.32058227833441
"2016-08-01",2016,306,2.99274103989719,3.13461203380338,2.80593510437998,2.83972588146482
"2016-09-01",2016,337,2.30667847745303,2.55998295353486,2.18086699743814,2.26449817861455
"2016-10-01",2017,1,1.6147210162805,1.77510729334808,1.57791631992182,1.66906447671321
"2016-11-01",2017,32,0.832215163711576,0.894857947250976,0.755471327837349,0.765145445842873
"2016-12-01",2017,62,0.256768185327534,0.304270616469446,0.229893971409197,0.238875853396437
"2017-01-01",2017,93,0.343747243975389,0.45070726305028,0.34762081406989,0.427947474213588
"2017-02-01",2017,124,0.562014638007909,0.587216922298648,0.550106549278785,0.585214596383758
"2017-03-01",2017,152,1.37888295011888,1.37559471242644,1.05456191157667,1.29704495154717
"2017-04-01",2017,183,1.8548548574735,1.87851871720426,1.41996432171269,1.66998864716499
"2017-05-01",2017,213,2.3632082201689,2.38062397152343,1.59633550511899,2.14510136352697
"2017-06-01",2017,244,3.36783672989358,3.9084319294916,3.32442076883958,3.44232123753595
"2017-07-01",2017,274,3.37656749004068,3.72981524662329,3.29544129850608,3.37966840503358
"2017-08-01",2017,305,3.33862445108691,3.44355650880336,2.9751717463743,2.93343101312856
"2017-09-01",2017,336,2.49440011077232,2.53207349060409,2.20277404132181,2.05878252126518
"2017-10-01",2018,1,1.70546854151086,1.74722687930141,1.50210625999866,1.6179837547171
"2017-11-01",2018,32,0.885977708297649,0.849009357062911,0.620709318960011,0.681534002029865
"2017-12-01",2018,62,0.453731761104441,0.552626390648232,0.472675114273399,0.538679441379274
"2018-01-01",2018,93,0.452547445877633,0.517855789737016,0.393778018050909,0.467846843196173
